alert_type,urgency,hour,weekday,nearby_reports,recent_reports,rain_probability,risk_level
Tránsito,Baja,16,4,5,0,0.36,1
Tránsito,Baja,20,1,5,5,0.17,2
Bache,Alta,6,4,8,5,0.55,2
Seguridad,Baja,11,3,5,6,0.82,2
Iluminación,Media,15,2,6,4,0.73,2
Iluminación,Baja,20,1,5,1,0.11,2
Bache,Baja,7,3,6,5,0.6,2
Residuos,Media,19,6,3,3,0.53,2
Tránsito,Baja,13,4,8,3,0.49,2
Seguridad,Baja,20,4,4,3,0.85,2
Incendio,Alta,20,1,0,3,0.06,2
Iluminación,Baja,7,2,0,5,0.83,1
Incendio,Media,23,0,1,2,0.28,1
Iluminación,Baja,11,5,0,1,0.01,0
Bache,Media,20,2,5,2,0.83,2
Residuos,Media,12,0,2,4,0.22,1
Seguridad,Baja,12,2,7,3,0.92,2
Seguridad,Media,21,3,0,1,0.77,1
Incendio,Baja,8,3,6,5,0.19,2
Bache,Alta,19,6,8,5,1.0,2
Tránsito,Baja,0,0,6,0,0.82,2
Iluminación,Alta,0,0,2,4,0.83,2
Residuos,Media,0,1,6,0,0.96,1
Tránsito,Media,3,0,5,0,0.7,2
Incendio,Media,22,6,5,1,0.89,2
Seguridad,Media,12,6,1,6,0.45,2
Residuos,Baja,20,3,3,4,0.6,2
Seguridad,Media,22,3,8,4,0.11,2
Tránsito,Media,10,5,1,4,0.42,2
Bache,Alta,11,6,2,3,0.28,2
Incendio,Baja,7,3,1,6,0.8,2
Residuos,Baja,14,1,0,5,0.85,0
Tránsito,Baja,12,1,6,3,0.22,2
Bache,Alta,0,2,1,5,0.52,2
Residuos,Media,22,4,2,2,0.43,1
Iluminación,Baja,9,1,1,2,0.96,1
Incendio,Baja,18,5,4,1,0.15,2
Tránsito,Alta,12,3,4,2,0.11,2
Tránsito,Alta,0,1,4,5,0.48,2
Seguridad,Baja,12,3,2,2,0.26,1
Residuos,Media,14,1,0,6,0.4,1
Residuos,Alta,1,3,7,3,0.11,2
Tránsito,Media,17,6,2,4,0.09,2
Iluminación,Baja,12,1,4,3,0.44,1
Bache,Baja,9,6,8,3,0.2,2
Seguridad,Media,0,1,7,1,0.72,2
Iluminación,Baja,19,6,2,0,0.36,1
Seguridad,Media,11,5,7,6,0.09,2
Incendio,Alta,2,0,1,2,0.03,2
Bache,Baja,19,3,3,3,0.37,2
Incendio,Alta,10,0,1,2,0.96,2
Iluminación,Media,18,3,7,1,0.49,2
Tránsito,Baja,17,4,5,4,0.47,2
Seguridad,Baja,16,5,1,2,0.75,1
Tránsito,Baja,13,5,6,6,0.53,2
Residuos,Media,2,4,5,3,0.71,2
Seguridad,Media,2,1,7,0,0.27,2
Residuos,Media,3,0,7,2,0.8,2
Tránsito,Alta,21,3,8,5,0.44,2
Residuos,Alta,12,1,1,6,0.4,2
Seguridad,Media,1,2,7,0,0.96,2
Iluminación,Alta,11,3,6,1,0.62,2
Incendio,Media,3,3,3,4,0.3,2
Bache,Alta,19,5,4,4,0.82,2
Tránsito,Baja,3,1,1,3,0.36,1
Tránsito,Alta,13,0,2,1,0.13,2
Incendio,Alta,20,1,6,3,0.12,2
Residuos,Media,1,4,6,5,0.38,2
Iluminación,Media,22,1,1,0,0.33,0
Bache,Media,4,0,8,6,0.38,2
Incendio,Baja,3,6,5,0,0.73,1
Incendio,Alta,20,6,6,3,0.99,2
Iluminación,Alta,6,0,4,6,0.33,2
Seguridad,Alta,12,3,2,0,0.5,1
Iluminación,Baja,4,1,6,4,0.34,2
Incendio,Baja,0,6,1,2,0.76,1
Iluminación,Baja,17,4,8,0,0.82,1
Bache,Alta,22,5,5,5,0.14,2
Iluminación,Alta,5,3,7,0,0.73,2
Iluminación,Media,3,6,5,1,0.91,2
Iluminación,Media,10,6,2,3,0.72,1
Iluminación,Media,18,1,5,1,0.5,2
Incendio,Media,15,4,3,5,0.05,2
Tránsito,Baja,21,3,4,3,0.49,2
Seguridad,Alta,18,2,6,2,0.38,2
Seguridad,Media,17,5,0,1,0.2,1
Iluminación,Alta,8,1,0,3,0.38,2
Tránsito,Alta,23,6,1,2,0.72,2
Iluminación,Alta,9,6,0,5,0.73,2
Incendio,Baja,6,2,2,1,0.44,1
Incendio,Media,15,6,7,1,0.32,2
Seguridad,Media,2,6,6,2,0.17,2
Incendio,Media,16,4,1,1,0.32,1
Residuos,Alta,0,5,5,0,0.9,2
Iluminación,Alta,19,1,0,4,0.13,2
Residuos,Media,6,1,4,5,0.82,2
Incendio,Media,4,3,8,6,0.35,2
Residuos,Baja,10,5,0,0,0.79,0
Tránsito,Media,8,2,5,6,0.26,2
Incendio,Baja,13,0,4,2,0.26,1
Incendio,Media,17,1,0,3,0.71,2
Iluminación,Baja,12,0,6,4,0.47,2
Seguridad,Media,2,0,4,6,0.34,2
Iluminación,Alta,9,3,5,0,0.95,2
Incendio,Alta,23,6,5,0,0.18,2
Iluminación,Baja,4,2,3,0,0.32,0
Tránsito,Baja,17,3,7,5,0.77,2
Residuos,Media,21,2,2,4,0.15,1
Tránsito,Media,16,6,5,5,0.56,2
Seguridad,Baja,14,1,3,5,0.48,2
Incendio,Baja,22,5,4,3,0.98,2
Tránsito,Media,0,1,6,0,0.08,2
Residuos,Baja,19,2,5,5,0.19,2
Incendio,Baja,7,0,1,6,0.7,2
Tránsito,Alta,15,0,3,3,0.71,2
Iluminación,Media,23,0,0,0,0.17,0
Incendio,Media,3,5,3,5,0.12,2
Bache,Alta,8,5,4,5,0.12,2
Seguridad,Baja,8,4,1,4,0.39,2
Iluminación,Baja,6,2,5,0,0.39,1
Residuos,Baja,4,0,4,2,0.52,1
Seguridad,Alta,16,3,8,2,0.54,2
Bache,Baja,13,6,4,1,0.4,1
Seguridad,Media,1,5,2,6,0.35,2
Residuos,Baja,19,6,4,1,0.15,1
Seguridad,Baja,18,1,3,1,0.12,1
Iluminación,Media,21,5,1,1,0.31,1
Iluminación,Baja,0,5,5,3,0.08,2
Bache,Baja,4,1,7,2,0.24,1
Residuos,Media,14,3,3,3,0.87,1
Incendio,Alta,18,5,5,0,0.75,2
Incendio,Media,23,4,4,0,0.92,1
Bache,Baja,3,0,7,4,0.98,2
Iluminación,Alta,0,3,3,0,0.34,1
Bache,Baja,11,4,2,1,0.37,0
Residuos,Alta,1,6,0,2,0.25,1
Seguridad,Baja,8,1,8,5,0.58,2
Bache,Baja,13,3,2,0,0.3,0
Bache,Media,15,1,6,4,0.84,2
Iluminación,Alta,10,6,7,4,0.69,2
Bache,Alta,0,0,7,2,0.12,2
Incendio,Baja,10,5,8,2,0.08,2
Tránsito,Baja,11,2,6,2,0.79,2
Iluminación,Baja,23,1,8,6,0.68,2
Residuos,Media,13,3,4,2,0.39,1
Bache,Alta,3,5,2,1,0.78,2
Tránsito,Baja,12,2,5,1,0.83,2
Incendio,Baja,13,5,0,3,0.64,1
Seguridad,Media,13,1,2,0,1.0,1
Iluminación,Alta,20,6,0,2,0.61,2
Iluminación,Baja,7,6,8,6,0.85,2
Seguridad,Media,15,4,1,5,0.06,2
Seguridad,Media,18,2,3,3,0.14,2
Residuos,Alta,19,3,2,3,0.67,2
Residuos,Alta,10,6,8,5,0.91,2
Residuos,Alta,10,2,4,0,0.05,1
Iluminación,Baja,21,5,6,6,0.15,2
Iluminación,Baja,13,1,2,0,0.49,0
Residuos,Baja,20,6,7,1,0.13,1
Bache,Media,14,5,5,5,0.55,2
Incendio,Media,9,1,7,2,0.45,2
Seguridad,Alta,14,1,4,2,0.14,2
Residuos,Alta,21,0,2,6,0.71,2
Incendio,Media,12,5,2,2,0.35,1
Iluminación,Alta,23,1,8,1,0.74,2
Residuos,Baja,9,2,1,1,0.75,0
Incendio,Baja,19,3,6,4,0.69,2
Residuos,Baja,14,6,4,6,0.53,1
Residuos,Alta,17,1,5,1,0.19,2
Iluminación,Media,23,4,3,0,0.62,1
Incendio,Alta,3,1,8,0,0.38,2
Seguridad,Alta,11,1,3,3,0.35,2
Bache,Alta,20,4,4,1,0.53,2
Residuos,Media,2,4,4,6,0.81,2
Residuos,Baja,8,6,3,0,0.94,1
Seguridad,Media,2,3,2,1,0.95,1
Incendio,Baja,13,1,5,1,0.49,1
Residuos,Alta,20,4,4,6,0.6,2
Residuos,Alta,2,0,7,3,0.2,2
Iluminación,Baja,19,0,3,0,0.5,1
Seguridad,Media,19,6,0,5,0.5,2
Bache,Media,9,5,5,1,0.89,2
Residuos,Media,7,4,8,3,0.35,2
Residuos,Baja,8,3,7,2,0.93,2
Incendio,Media,2,6,7,0,0.32,2
Bache,Alta,19,1,5,3,0.75,2
Incendio,Alta,10,6,0,6,0.74,2
Bache,Baja,16,4,2,5,0.35,1
Iluminación,Media,4,5,6,1,0.32,2
Bache,Baja,16,2,1,1,0.25,0
Bache,Media,23,5,1,4,0.48,1
Iluminación,Baja,16,2,8,3,0.2,2
Tránsito,Baja,4,0,6,1,0.31,1
Bache,Baja,16,5,0,1,0.12,0
Incendio,Alta,17,3,7,4,0.0,2
Iluminación,Baja,15,1,0,4,0.43,1
Incendio,Baja,15,1,2,3,0.84,1
Bache,Baja,5,4,2,1,0.79,1
Residuos,Baja,20,5,3,6,0.18,2
Residuos,Alta,13,5,1,6,0.74,2
Iluminación,Baja,0,5,8,5,0.06,2
Seguridad,Alta,21,3,5,1,0.29,2
Incendio,Alta,9,1,4,5,0.57,2
Residuos,Baja,16,1,1,1,0.05,0
Bache,Alta,23,5,5,0,1.0,2
Iluminación,Baja,18,5,3,3,0.1,2
Incendio,Baja,0,6,6,2,0.71,2
Tránsito,Media,7,3,2,3,0.6,2
Iluminación,Alta,20,1,4,0,0.07,2
Bache,Baja,17,6,8,2,0.93,2
Bache,Media,0,2,1,3,0.65,1
Incendio,Alta,18,4,0,0,0.75,1
Bache,Baja,23,4,6,1,0.3,1
Residuos,Alta,10,3,6,5,0.28,2
Seguridad,Baja,7,3,3,5,0.05,2
Iluminación,Alta,18,4,6,2,0.84,2
Iluminación,Baja,5,5,4,1,0.33,1
Incendio,Media,9,3,1,5,0.03,2
Tránsito,Alta,14,1,7,3,0.54,2
Incendio,Media,6,2,6,4,0.32,2
Iluminación,Media,4,0,8,3,0.86,2
Iluminación,Alta,17,3,6,6,0.21,2
Seguridad,Media,17,0,7,3,0.95,2
Residuos,Baja,16,1,1,6,0.28,1
Residuos,Baja,7,3,5,5,0.6,2
Tránsito,Baja,1,1,0,3,0.8,2
Bache,Alta,7,0,2,2,0.53,2
Seguridad,Alta,11,2,2,5,0.84,2
Seguridad,Alta,7,6,8,3,0.44,2
Incendio,Media,2,2,8,4,0.74,2
Bache,Alta,16,5,2,4,0.64,2
Seguridad,Media,7,0,3,1,0.15,2
Tránsito,Baja,17,1,0,6,0.55,1
Tránsito,Media,5,4,4,6,0.82,2
Incendio,Baja,22,4,7,3,0.62,2
Residuos,Baja,15,3,7,4,0.62,2
Bache,Alta,22,5,4,0,0.91,2
Bache,Baja,0,0,7,0,0.09,1
Seguridad,Baja,12,2,3,1,0.72,1
Incendio,Baja,7,3,4,0,0.75,1
Iluminación,Alta,3,6,4,1,0.96,2
Iluminación,Media,15,4,0,0,0.75,0
Iluminación,Alta,9,3,1,3,0.87,2
Tránsito,Media,10,3,1,0,0.06,1
Iluminación,Alta,12,4,0,2,0.41,1
Tránsito,Alta,14,0,3,5,0.05,2
Incendio,Baja,0,6,7,6,0.63,2
Residuos,Alta,3,6,8,2,0.98,2
Incendio,Alta,2,1,8,4,0.29,2
Tránsito,Media,9,3,0,1,0.29,1
Bache,Baja,21,2,3,1,0.42,1
Seguridad,Alta,15,2,8,5,0.69,2
Bache,Alta,0,4,3,3,0.07,2
Bache,Alta,8,5,6,4,0.44,2
Tránsito,Alta,0,5,4,4,0.24,2
Tránsito,Media,16,2,2,6,0.91,2
Bache,Alta,4,4,0,5,0.33,2
Incendio,Alta,4,2,8,5,0.98,2
Bache,Baja,4,3,7,3,0.22,2
Iluminación,Baja,14,1,4,0,0.28,1
Residuos,Baja,7,6,7,3,0.8,2
Tránsito,Media,1,1,2,3,0.0,2
Incendio,Alta,12,6,0,6,0.74,2
Incendio,Baja,10,2,2,5,0.21,1
Tránsito,Alta,21,3,5,4,0.91,2
Residuos,Alta,6,4,3,0,0.05,2
Residuos,Media,15,4,1,4,0.77,1
Residuos,Alta,18,2,7,0,0.7,2
Incendio,Media,18,2,8,5,0.69,2
Incendio,Baja,11,1,5,2,0.59,2
Incendio,Media,0,0,7,1,0.1,2
Residuos,Media,23,4,2,4,0.12,1
Seguridad,Media,14,4,0,3,0.09,1
Bache,Alta,17,3,0,4,0.64,2
Residuos,Baja,18,3,3,6,0.01,2
Residuos,Media,14,3,1,3,0.3,1
Bache,Baja,9,1,3,2,0.94,2
Seguridad,Media,4,4,4,1,0.44,2
Seguridad,Media,21,0,5,3,0.17,2
Residuos,Alta,22,0,4,3,0.91,2
Bache,Baja,3,6,6,6,0.12,2
Incendio,Alta,2,2,4,6,0.21,2
Residuos,Alta,5,4,6,0,0.14,2
Residuos,Alta,3,0,4,0,0.33,1
Incendio,Media,5,4,6,5,0.22,2
Bache,Media,13,4,4,4,0.44,2
Incendio,Alta,0,3,1,1,0.8,1
Tránsito,Alta,19,3,3,3,0.19,2
Bache,Baja,5,6,7,1,0.7,1
Tránsito,Alta,23,6,3,3,0.97,2
Seguridad,Alta,20,5,3,4,0.61,2
Residuos,Alta,20,4,1,3,0.47,2
Seguridad,Alta,4,4,3,3,0.69,2
Bache,Alta,12,6,3,4,0.91,2
Residuos,Alta,3,3,1,0,0.83,1
Iluminación,Baja,3,0,8,3,0.85,2
Iluminación,Media,19,3,2,3,0.04,2
Bache,Media,16,1,6,0,0.56,1
Bache,Baja,8,2,3,3,0.9,2
Seguridad,Baja,18,3,6,1,0.95,2
Seguridad,Alta,9,5,7,2,0.7,2
Seguridad,Alta,3,1,7,2,0.26,2
Seguridad,Media,4,5,5,5,0.09,2
Bache,Alta,18,1,3,5,0.28,2
Bache,Alta,3,4,0,0,0.13,1
Incendio,Baja,23,4,7,1,0.59,1
Iluminación,Alta,21,4,8,3,0.54,2
Seguridad,Media,6,2,4,2,0.41,2
Residuos,Baja,16,3,3,0,0.38,0
Seguridad,Media,15,4,7,6,0.34,2
Tránsito,Alta,18,1,8,1,0.29,2
Incendio,Alta,1,3,3,1,0.59,2
Seguridad,Baja,3,3,0,0,0.05,0
Incendio,Media,9,2,0,1,0.4,1
Iluminación,Alta,13,5,8,4,0.83,2
Bache,Media,0,2,6,2,0.76,2
Tránsito,Media,13,0,6,1,0.3,2
Tránsito,Alta,5,1,1,3,0.0,2
Seguridad,Alta,10,1,8,4,0.75,2
Incendio,Baja,20,2,6,4,0.13,2
Tránsito,Media,12,2,7,5,0.59,2
Residuos,Baja,16,3,3,1,0.74,0
Incendio,Alta,11,5,5,6,0.01,2
Seguridad,Baja,16,5,0,5,0.85,1
Seguridad,Baja,12,0,2,1,0.95,1
Iluminación,Baja,2,2,7,5,0.7,2
Iluminación,Baja,15,2,4,1,0.13,1
Incendio,Baja,12,5,8,4,0.36,2
Tránsito,Alta,0,4,1,6,0.58,2
Seguridad,Media,5,4,3,4,0.31,2
Residuos,Baja,20,6,7,6,0.15,2
Residuos,Media,21,5,1,0,0.51,0
Residuos,Alta,13,6,2,1,0.77,1
Residuos,Baja,18,5,5,0,0.36,1
Residuos,Baja,5,5,6,6,0.51,2
Incendio,Alta,3,3,1,0,0.22,1
Residuos,Baja,2,1,0,3,0.45,0
Incendio,Media,23,6,6,0,0.94,2
Tránsito,Baja,18,0,4,3,0.71,2
Incendio,Alta,4,2,0,3,0.37,2
Tránsito,Alta,1,0,5,1,0.51,2
Seguridad,Alta,6,0,5,4,0.81,2
Bache,Alta,18,0,0,5,0.16,2
Seguridad,Alta,10,1,3,2,0.89,2
Seguridad,Media,7,5,8,5,0.64,2
Iluminación,Media,5,4,5,4,0.74,2
Seguridad,Baja,21,0,1,1,0.34,0
Tránsito,Baja,22,4,0,4,0.41,1
Iluminación,Alta,13,6,2,6,0.32,2
Bache,Media,20,6,1,5,0.44,2
Bache,Alta,4,5,3,1,0.31,2
Incendio,Alta,11,4,4,0,0.25,2
Tránsito,Alta,17,1,5,3,0.63,2
Seguridad,Baja,6,1,7,5,0.39,2
Residuos,Media,22,6,7,4,0.32,2
Bache,Alta,20,2,7,4,0.84,2
Seguridad,Alta,15,4,7,3,0.08,2
Incendio,Baja,12,2,3,4,0.13,2
Bache,Media,22,3,5,5,0.67,2
Incendio,Baja,23,2,6,1,0.13,1
Residuos,Baja,11,0,0,5,0.71,0
Incendio,Alta,16,4,0,5,0.92,2
Tránsito,Media,1,2,2,4,0.64,2
Iluminación,Baja,6,6,0,6,0.39,1
Iluminación,Media,0,4,6,4,0.23,2
Tránsito,Media,1,6,4,3,0.15,2
Bache,Media,0,5,6,1,0.81,2
Iluminación,Baja,11,5,6,3,0.46,2
Incendio,Alta,21,4,1,0,0.85,1
Residuos,Media,17,5,6,3,0.78,2
Bache,Baja,13,1,5,4,0.88,2
Iluminación,Media,2,4,1,4,0.51,1
Tránsito,Media,8,3,8,5,0.48,2
Seguridad,Baja,12,0,2,4,0.56,1
Seguridad,Alta,23,3,4,5,0.71,2
Tránsito,Media,23,3,6,4,0.94,2
Tránsito,Media,5,0,6,3,0.27,2
Bache,Media,17,6,2,1,0.06,1
Tránsito,Baja,13,6,4,4,0.35,2
Incendio,Alta,2,5,2,4,0.85,2
Bache,Baja,15,5,4,3,0.8,2
Tránsito,Alta,1,1,4,5,0.52,2
Seguridad,Media,22,1,3,5,0.85,2
Incendio,Baja,15,1,6,1,0.88,1
Iluminación,Baja,6,4,2,2,0.54,1
Residuos,Baja,9,2,7,5,0.31,2
Seguridad,Media,17,6,8,2,0.48,2
Incendio,Baja,0,6,1,6,0.04,1
Iluminación,Alta,15,0,5,0,0.83,2
Bache,Baja,9,3,4,4,0.06,2
Incendio,Baja,2,1,2,0,0.35,0
Incendio,Media,4,5,8,4,0.47,2
Tránsito,Alta,0,6,8,5,0.53,2
Seguridad,Alta,14,5,5,5,0.42,2
Tránsito,Media,0,4,7,6,0.24,2
Iluminación,Alta,19,6,0,6,0.58,2
Tránsito,Alta,19,6,3,5,0.03,2
Tránsito,Baja,1,1,6,0,0.93,2
Iluminación,Baja,7,3,1,4,0.75,1
Tránsito,Baja,20,0,2,1,0.12,1
Residuos,Baja,13,1,8,6,0.38,2
Residuos,Alta,15,6,5,4,0.45,2
Incendio,Alta,1,0,5,1,0.5,2
Seguridad,Alta,21,0,0,6,0.66,2
Iluminación,Baja,16,4,7,5,0.69,2
Incendio,Media,0,3,2,1,0.18,1
Bache,Alta,7,0,3,5,0.31,2
Incendio,Baja,13,5,1,0,0.35,0
Tránsito,Media,3,2,6,6,0.83,2
Incendio,Baja,5,1,2,6,0.61,1
Tránsito,Alta,16,4,2,3,0.7,2
Residuos,Alta,10,4,5,3,0.5,2
Incendio,Alta,14,6,5,0,0.78,2
Incendio,Baja,10,2,3,0,0.68,1
Incendio,Baja,10,6,2,2,0.98,1
Residuos,Baja,13,6,3,6,0.92,1
Seguridad,Baja,14,3,4,5,0.27,2
Tránsito,Baja,1,1,7,4,0.27,2
Bache,Media,20,2,1,3,0.98,2
Iluminación,Alta,13,5,3,1,0.65,2
Incendio,Alta,14,1,8,4,0.86,2
Seguridad,Media,18,3,0,3,0.67,2
Iluminación,Media,2,1,3,5,0.42,2
Iluminación,Alta,11,3,7,5,0.9,2
Seguridad,Media,0,4,2,3,0.87,2
Incendio,Alta,23,5,2,2,0.94,2
Seguridad,Media,20,5,0,0,0.68,1
Residuos,Baja,13,5,1,0,0.65,0
Seguridad,Baja,20,5,1,4,0.44,2
Iluminación,Baja,0,5,1,5,0.49,1
Incendio,Media,0,4,5,0,0.62,2
Incendio,Media,15,6,5,2,0.5,2
Seguridad,Media,4,0,0,2,0.98,1
Residuos,Alta,22,4,6,1,0.91,2
Incendio,Media,0,5,5,2,0.67,2
Tránsito,Baja,12,6,0,3,0.48,1
Incendio,Media,19,4,7,5,0.91,2
Bache,Baja,18,1,1,2,0.58,1
Seguridad,Baja,17,6,1,1,0.97,1
Residuos,Media,12,5,3,0,0.03,1
Residuos,Baja,2,2,7,5,0.36,2
Incendio,Alta,12,3,5,3,0.5,2
Bache,Baja,10,5,7,5,0.03,2
Residuos,Baja,17,1,1,4,0.27,1
Iluminación,Alta,6,4,3,5,0.01,2
Seguridad,Baja,12,3,5,6,0.64,2
Tránsito,Media,2,1,5,4,0.88,2
